sample_name,plate,well,organism,flooded,path_conc,experiment,sample_type,is_ambiguous
SDNA_C1,1,G02,NA,NA,NA,NA,Negative control,FALSE
SDNA_C2,1,H07,NA,NA,NA,NA,Negative control,FALSE
SDNA_C3,2,E02,NA,NA,NA,NA,Negative control,FALSE
SDNA_C4,2,A07,NA,NA,NA,NA,Negative control,FALSE
SMC1,1,G12,NA,NA,NA,NA,Mock community,FALSE
SMC2,1,H12,NA,NA,NA,NA,Mock community,FALSE
SMC3,2,C11,NA,NA,NA,NA,Mock community,FALSE
SMC4,2,D11,NA,NA,NA,NA,Mock community,FALSE
SPCR_C1,1,D05,NA,NA,NA,NA,Negative control,FALSE
SPCR_C2,1,C10,NA,NA,NA,NA,Negative control,FALSE
SPCR_C3,2,G09,NA,NA,NA,NA,Negative control,FALSE
S101,2,C02,Plu,FALSE,1,2,Sample,FALSE
S103,2,F02,Cin,FALSE,1,2,Sample,FALSE
S104,2,G02,Plu,FALSE,1,2,Sample,FALSE
S106,2,A03,Plu,FALSE,100,2,Sample,FALSE
S11,1,C02,Plu,FALSE,1,1,Sample,FALSE
S111,2,F03,Cin,FALSE,100,2,Sample,FALSE
S113,2,H03,Cry,FALSE,1,2,Sample,FALSE
S114,2,A04,Plu,FALSE,100,2,Sample,FALSE
S115,2,B04,Control,FALSE,0,2,Sample,FALSE
S118,2,F04,Cry,FALSE,100,2,Sample,FALSE
S120,2,H04,Cry,FALSE,1,2,Sample,FALSE
S122,2,B05,Cry,FALSE,100,2,Sample,FALSE
S125,2,E05,Plu,FALSE,1,2,Sample,FALSE
S127,2,G05,Plu,FALSE,100,2,Sample,FALSE
S133,2,E06,Cin,FALSE,1,2,Sample,FALSE
S134,2,F06,Cin,FALSE,100,2,Sample,FALSE
S135,2,G06,Cry,FALSE,100,2,Sample,FALSE
S140,2,E07,Plu,FALSE,1,2,Sample,FALSE
S142,2,G07,Control,FALSE,0,2,Sample,FALSE
S143,2,H07,Cry,FALSE,1,2,Sample,FALSE
S144,2,A08,Control,FALSE,0,2,Sample,FALSE
S145,2,B08,Plu,FALSE,1,2,Sample,FALSE
S146,2,C08,Cin,FALSE,100,2,Sample,FALSE
S147,2,D08,Cry,FALSE,100,2,Sample,FALSE
S148,2,E08,Cry,FALSE,1,2,Sample,FALSE
S149,2,F08,Plu,FALSE,100,2,Sample,FALSE
S15,1,H02,Cin,FALSE,100,1,Sample,FALSE
S154,2,C09,Cin,FALSE,100,2,Sample,FALSE
S156,2,D09,Cin,FALSE,1,2,Sample,FALSE
S157,2,E09,Cry,FALSE,1,2,Sample,FALSE
S159,2,H09,Plu,FALSE,100,2,Sample,FALSE
S16,1,A03,Cry,FALSE,100,1,Sample,FALSE
S160,2,A10,Control,FALSE,0,2,Sample,FALSE
S161,2,B10,Cry,FALSE,100,2,Sample,FALSE
S162,2,C10,Cin,FALSE,1,2,Sample,FALSE
S165,2,F10,Cin,FALSE,1,2,Sample,FALSE
S166,2,G10,Plu,FALSE,100,2,Sample,FALSE
S169,2,B11,Cin,FALSE,100,2,Sample,FALSE
S2,1,B01,Cin,FALSE,1,1,Sample,FALSE
S20,1,E03,Plu,FALSE,100,1,Sample,FALSE
S21,1,F03,Cry,FALSE,1,1,Sample,FALSE
S24,1,A04,Cin,FALSE,100,1,Sample,FALSE
S25,1,B04,Control,FALSE,0,1,Sample,FALSE
S26,1,C04,Control,FALSE,0,1,Sample,FALSE
S27,1,D04,Cin,FALSE,100,1,Sample,FALSE
S28,1,E04,Cin,FALSE,100,1,Sample,FALSE
S29,1,F04,Cin,FALSE,100,1,Sample,FALSE
S31,1,H04,Plu,FALSE,100,1,Sample,FALSE
S32,1,A05,Cry,FALSE,100,1,Sample,FALSE
S33,1,B05,Control,FALSE,0,1,Sample,FALSE
S34,1,C05,Plu,FALSE,100,1,Sample,FALSE
S40,1,B06,Cry,FALSE,1,1,Sample,FALSE
S41,1,C06,Cry,FALSE,100,1,Sample,FALSE
S43,1,E06,Cry,FALSE,1,1,Sample,FALSE
S5,1,E01,Cin,FALSE,1,1,Sample,FALSE
S51,1,E07,Cry,FALSE,1,1,Sample,FALSE
S53,1,G07,Plu,FALSE,100,1,Sample,FALSE
S54,1,A08,Plu,FALSE,100,1,Sample,FALSE
S55,1,B08,Plu,FALSE,100,1,Sample,FALSE
S57,1,D08,Cry,FALSE,1,1,Sample,FALSE
S58,1,E08,Cin,FALSE,1,1,Sample,FALSE
S59,1,F08,Cry,FALSE,1,1,Sample,FALSE
S60,1,G08,Cin,FALSE,1,1,Sample,FALSE
S61,1,H08,Cin,FALSE,1,1,Sample,FALSE
S64,1,C09,Control,FALSE,0,1,Sample,FALSE
S68,1,G09,Plu,FALSE,1,1,Sample,FALSE
S69,1,H09,Plu,FALSE,1,1,Sample,FALSE
S70,1,A10,Plu,FALSE,1,1,Sample,FALSE
S72,1,D10,Plu,FALSE,1,1,Sample,FALSE
S73,1,E10,Control,FALSE,0,1,Sample,FALSE
S76,1,H10,Cin,FALSE,1,1,Sample,FALSE
S77,1,A11,Plu,FALSE,100,1,Sample,FALSE
S78,1,B11,Control,FALSE,0,1,Sample,FALSE
S81,1,E11,Cin,FALSE,100,1,Sample,FALSE
S83,1,G11,Cry,FALSE,100,1,Sample,FALSE
S85,1,A12,Plu,FALSE,1,2,Sample,FALSE
S87,1,C12,Cry,FALSE,100,2,Sample,FALSE
S9,1,A02,Cry,FALSE,100,1,Sample,FALSE
S91,2,A01,Control,FALSE,0,2,Sample,FALSE
S92,2,B01,Cry,FALSE,1,2,Sample,FALSE
S93,2,C01,Cin,FALSE,100,2,Sample,FALSE
S94,2,D01,Control,FALSE,0,2,Sample,FALSE
S99,2,A02,Cin,FALSE,1,2,Sample,FALSE
S1,1,A01,Cry,TRUE,100,1,Sample,FALSE
S10,1,B02,Cry,TRUE,1,1,Sample,FALSE
S100,2,B02,Cin,TRUE,1,2,Sample,FALSE
S102,2,D02,Cry,TRUE,1,2,Sample,FALSE
S105,2,H02,Cry,TRUE,100,2,Sample,FALSE
S107,2,B03,Cin,TRUE,100,2,Sample,FALSE
S108,2,C03,Control,TRUE,0,2,Sample,FALSE
S109,2,D03,Cin,TRUE,1,2,Sample,FALSE
S110,2,E03,Cry,TRUE,100,2,Sample,FALSE
S112,2,G03,Control,TRUE,0,2,Sample,FALSE
S116,2,D04,Plu,TRUE,100,2,Sample,FALSE
S117,2,E04,Cry,TRUE,1,2,Sample,FALSE
S119,2,G04,Control,TRUE,0,2,Sample,FALSE
S12,1,D02,Plu,TRUE,1,1,Sample,FALSE
S121,2,A05,Cin,TRUE,100,2,Sample,FALSE
S123,2,C05,Plu,TRUE,1,2,Sample,FALSE
S124,2,D05,Cry,TRUE,1,2,Sample,FALSE
S126,2,F05,Plu,TRUE,1,2,Sample,FALSE
S128,2,H05,Plu,TRUE,100,2,Sample,FALSE
S129,2,A06,Control,TRUE,0,2,Sample,FALSE
S13,1,E02,Control,TRUE,0,1,Sample,FALSE
S130,2,B06,Cin,TRUE,100,2,Sample,FALSE
S131,2,C06,Cin,TRUE,1,2,Sample,FALSE
S132,2,D06,Cry,TRUE,1,2,Sample,FALSE
S136,2,H06,Plu,TRUE,1,2,Sample,FALSE
S137,2,B07,Cry,TRUE,100,2,Sample,FALSE
S138,2,C07,Plu,TRUE,100,2,Sample,FALSE
S139,2,D07,Cin,TRUE,100,2,Sample,FALSE
S14,1,F02,Cin,TRUE,1,1,Sample,FALSE
S141,2,F07,Cry,TRUE,100,2,Sample,FALSE
S150,2,G08,Control,TRUE,0,2,Sample,FALSE
S151,2,H08,Cin,TRUE,1,2,Sample,FALSE
S152,2,A09,Cry,TRUE,1,2,Sample,FALSE
S153,2,B09,Plu,TRUE,1,2,Sample,FALSE
S158,2,F09,Cry,TRUE,1,2,Sample,FALSE
S163,2,D10,Plu,TRUE,100,2,Sample,FALSE
S164,2,E10,Plu,TRUE,1,2,Sample,FALSE
S167,2,H10,Plu,TRUE,100,2,Sample,FALSE
S168,2,A11,Cin,TRUE,1,2,Sample,FALSE
S17,1,B03,Cry,TRUE,100,1,Sample,FALSE
S18,1,C03,Control,TRUE,0,1,Sample,FALSE
S22,1,G03,Cry,TRUE,100,1,Sample,FALSE
S23,1,H03,Plu,TRUE,100,1,Sample,FALSE
S3,1,C01,Plu,TRUE,1,1,Sample,FALSE
S35,1,E05,Control,TRUE,0,1,Sample,FALSE
S36,1,F05,Plu,TRUE,100,1,Sample,FALSE
S37,1,G05,Cry,TRUE,100,1,Sample,FALSE
S38,1,H05,Cry,TRUE,1,1,Sample,FALSE
S39,1,A06,Cin,TRUE,1,1,Sample,FALSE
S4,1,D01,Plu,TRUE,1,1,Sample,FALSE
S42,1,D06,Plu,TRUE,1,1,Sample,FALSE
S45,1,G06,Cin,TRUE,100,1,Sample,FALSE
S46,1,H06,Cin,TRUE,1,1,Sample,FALSE
S47,1,A07,Plu,TRUE,100,1,Sample,FALSE
S48,1,B07,Cin,TRUE,100,1,Sample,FALSE
S49,1,C07,Cin,TRUE,1,1,Sample,FALSE
S50,1,D07,Control,TRUE,0,1,Sample,FALSE
S52,1,F07,Plu,TRUE,1,1,Sample,FALSE
S56,1,C08,Cry,TRUE,100,1,Sample,FALSE
S6,1,F01,Cry,TRUE,1,1,Sample,FALSE
S62,1,A09,Cry,TRUE,1,1,Sample,FALSE
S63,1,B09,Cin,TRUE,1,1,Sample,FALSE
S65,1,D09,Plu,TRUE,100,1,Sample,FALSE
S66,1,E09,Cin,TRUE,1,1,Sample,FALSE
S7,1,G01,Cry,TRUE,1,1,Sample,FALSE
S74,1,F10,Control,TRUE,0,1,Sample,FALSE
S79,1,C11,Control,TRUE,0,1,Sample,FALSE
S8,1,H01,Cin,TRUE,100,1,Sample,FALSE
S80,1,D11,Cry,TRUE,1,1,Sample,FALSE
S82,1,F11,Cry,TRUE,100,1,Sample,FALSE
S84,1,H11,Cin,TRUE,100,1,Sample,FALSE
S86,1,B12,Plu,TRUE,1,2,Sample,FALSE
S88,1,D12,Cin,TRUE,100,2,Sample,FALSE
S89,1,E12,Cry,TRUE,100,2,Sample,FALSE
S90,1,F12,Cry,TRUE,100,2,Sample,FALSE
S95,2,E01,Control,TRUE,0,2,Sample,FALSE
S96,2,F01,Cin,TRUE,1,2,Sample,FALSE
S97,2,G01,Cin,TRUE,100,2,Sample,FALSE
S98,2,H01,Plu,TRUE,100,2,Sample,FALSE